Gene,Degree_Centrality
IL6,0.8658536585365854
TNF,0.8536585365853658
IL1B,0.8170731707317074
FN1,0.8170731707317074
MMP9,0.8048780487804879
AKT1,0.7682926829268293
CCL2,0.7682926829268293
TGFB1,0.7439024390243902
IFNG,0.7317073170731707
MAPK3,0.7317073170731707
STAT3,0.7317073170731707
CXCL8,0.7317073170731707
JUN,0.7317073170731707
ICAM1,0.7195121951219512
PTGS2,0.7073170731707318
