Targets
PDGFRB
TP53
FBN1
TYR
DSP
BRAF
CDKN2A
IDS
EGFR
LMNA
APOE
IL6
COL7A1
PTEN
HRAS
TNF
PIK3CA
CTNNB1
KRAS
OCA2
MC1R
AKT1
NF1
KIT
NRAS
ELN
ADAM17
KRT14
IL10
RAG1
PKP1
TGM5
IGF1
FBLN5
ERBB2
FLG
ABCA12
IFNG
ERCC2
COL1A1
BRCA1
TGFB1
TP63
INS
BRCA2
IL1B
MTOR
MLH1
CFH
MAP2K1
TERT
MSH2
FGFR3
RAG2
PLEC
CDSN
COL17A1
KRT5
ZMPSTE24
KITLG
HLA-DRB1
CDK4
ALB
WRN
CRP
TGM1
SLC45A2
VEGFA
ATM
MYC
LOC106050102
PTCH1
PPARG
CTLA4
KRT10
MSH6
TLR4
CXCL8
FGFR2
ACE
GNAS
STAT3
MTHFR
COL1A2
MMP1
RAF1
KRT1
ITGB4
CDH1
ATP6V0A2
TYRP1
MITF
FLG2
ESR1
GJA1
PTPN11
LAMB3
MMP9
EZH2
COL3A1
LAMC2
DSG1
RET
VDR
HCCS
BDNF
MMP2
GJB2
POMC
CBS
LRRC56
B2M
TGFBR2
AR
HTRA1
EGF
C3
IDH1
H19
FERMT1
MAP2K2
HIF1A
CCND1
XPC
NFKB1
KRT17
CSTA
BDNF-AS
PALB2
ARMS2
CREBBP
APC
MIR21
LEP
ERCC4
BCL2
IL1A
XPA
PMS2
HLA-B
MAPT
TUBB
PIK3R1
SMAD4
FAS
PNPLA1
SOD1
ERCC6
SDHB
NOD2
SHH
COL5A1
IGF1R
VIM
MAPK1
VHL
APP
APOB
ADIPOQ
GBA1
ATP7A
RECQL4
HERC2
FLCN
SPINK5
IL4
KL
LORICRIN
ERCC3
TSC2
MDM2
MET
SOX2
IL2
HLA-DQB1
TGFBR1
CHEK2
SNCA
SMAD3
IL17A
KRT2
KDR
CFTR
PYCR1
LOX
FGFR1
ERCC5
ENG
IL1RN
FH
ABCA4
IGF2
NLRP3
POLG
SOD2-OT1
TWIST2
RAC1
HFE
TGFB2
ICAM1
PTGS2
CCL2
TTR
NBN
ELANE
MEN1
ALK
GNA11
PDGFRA
BLM
MAPRE2
PSEN1
GLA
CAT
GGCX
GJB6
SDHD
KRT16
BMP4
NDUFB11
FASLG
CDKN1B
CERS3
CTSD
SOX10
EFEMP2
PCNA
GSTM1
NOTCH3
IAH1
FGF2
CFB
PRKAR1A
CAST
INSR
SERPINB8
RB1
TNFRSF1A
DST
RBP4
FLNA
SMO
JAK2
NOTCH1
IL2RA
LTBP4
CCDST
FOXP3
LDLR
F2
IL13
STAT1
IL18
STK11
DSC3
PDGFB
COL2A1
CHD7
COMT
ABCC6
PLOD1
APOA1
TRPS1
SERPINE1
ALDH18A1
ERCC1
SIRT1
CDKN1A
BAP1
CD36
MEFV
MECP2
CD40LG
SOD2
SLC2A1
CST3
ACTB
GFAP
JUP
NFKBIA
TGFB3
NFE2L2
GRN
CAV1
TREX1
NGF
DDB2
TSC1
NPC1
DICER1
SMAD2
LAMA3
COX7B
SHOC2
CHST14
LINC02605
IRF4
COL5A2
CXCR4
NTRK1
IGFBP3
COL4A1
PDCD1
PORCN
BRIP1
NOS3
EDAR
MFN2
GJB3
WNT10A
LOC126806658
ALOXE3
PARP1
CFI
F5
CDH3
MIR34A
MIR155
RARB
POLH
ITGA6
DES
EDN1
ASIP
FLT4
MPO
FMR1
GSTP1
EFEMP1
GH1
NR3C1
C2
ABCB1
ADAR
SLC2A10
ABCA1
FN1
IFIH1
SUFU
CYP19A1
CTSB
ELOVL4
ERCC8
GSTT1
ENPP1
SDHC
MUTYH
MVK
TNXB
ZNF469
ALOX12B
ATRIP
CCN2
NF2
PRKN
BMP6
PTPN22
DMD
DKC1
HLA-C
MMP3
HNF1A
AGER
ATP2A2
B4GALT7
MIR146A
CD79A
GNAQ
IVL
HLA-A
XRCC1
CD4
PSORS1C1
MME
GLB1
ATRX
MGMT
VEGFC
MIR146B
SPP1
MYH7
GORAB
SDHA
IFNA1
CD274
PIK3CG
LPL
ADA
RYR1
SQSTM1
HOTAIR
FANCA
CSF3
CERNA3
AXIN2
SMARCA4
FBN2
FKBP14
CTSC
FBXW7
SMPD1
OTX2
MIR210
WT1
TEK
KLHL24
SOS1
JUN
SAMHD1
CYLD
TLR2
NAA10
HBB
DNMT3A
NOS2
SRC
CARD14
CBL
COL6A1
FGF10
EPCAM
ADAMTS2
GHR
HMGCR
COL6A3
ITGAM
TH
CASP3
SCN1A
TPP1
GAA
SMARCB1
SELE
SF3B1
NCSTN
CASP8
EDNRB
THBS1
SLC17A5
TERC
EXOSC2
RAD51
ADA2
SYP
VCP
IL5
BCOR
VCAM1
EDA
GATA2
IGHE
ST14
VWF
CYP3A4
G6PD
FOS
AKT3
HMOX1
IDUA
LZTR1
HSPB1
BANF1
RTEL1
ABCB6
CP
SLC24A5
IL36RN
SLC6A4
POLD1
GALC
TTN
MUC1
