Targets
CA7
CA1
CA3
CA6
CA12
CA14
CA9
CA4
CA13
CA5B
CA5A
RPS6KA3
ESR1
ESR2
BCL2L1
BCL2A1
CNR1
CNR2
CDK5R1 CDK5
DYRK1A
GSK3B
MAOB
MMP9
MMP1
MMP2
CYP11B1
CYP11B2
CYP17A1
SNCA
TYR
MAOA
PDPK1
MCL1
PTGS1
PTGS2
AURKB
CDK2
CDK1
CDK4
AURKA
ESRRG
PLAA
CHEK1
WEE1
ERN1
EGFR
INSR
ROCK1
PRKACA
NQO2
NEK1
RPS6KA5
BCL2
PIK3CG
UPP1
HSP90AA1
CCR5
PGR
QDPR
TOP1
ALPG
HSP90AB1
TYMS
MME
MAPT
MAP2K1
CXCR1
EPHX2
DUSP3
MPI
ALOX5AP
CLK1
DYRK1B
PIK3CD
MAP4K4
ERBB2
LCK
SIGMAR1
PNMT
HDAC6
HDAC2
HDAC8
ALOX5
RAF1
CDK5
BRAF
CA2
DAO
TAAR1
CCNB3 CDK1 CCNB1 CCNB2
PNP
YWHAG
GCGR
IGFBP3
CYSLTR1
TBXAS1
ADRA2A
ADRA2C
ADRA2B
CHRM1
